receipt_image,text,predicted_label,confidence
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,CRF-CITY LA ROCHELLE,food,0.9179
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,33 RUE DE LA SCIERIE,food,0.821
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,LA ROCHELLE,food,0.8027
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,*COUSCOUS CRF. 440G,food,0.9429
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,*INNOCENT MANG/PASS,food,0.9236
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,A BIENTOT,food,0.8152
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,SYARIKAT PERNIAGAAN GIN KEE,food,0.9492
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,SIMPLIFIED TAX INVOICE,food,0.8652
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,"GOODS SOLD ARE NOT RETURNABLE, THANK YOU.",food,0.8749
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Nick's Tuscan Grill,food,0.9465
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,www.nickstuscangril1.com,food,0.9081
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,FUSSILLI SP,food,0.8802
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,1 Ossobuco,food,0.9299
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,1 Diet Coke,food,0.9446
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,1 G 14 Hands Cab,food,0.9057
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,SYARIKAT PERNIAGAAN GIN KEE,food,0.9492
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,SIMPLIFIED TAX INVOICE,food,0.8652
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,GOODS SOLD ARE NOT RETURNABLE. THANK YOU.,food,0.8315
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,FRENCH CAFE & WINE BAR,food,0.9501
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,CHANDA R,food,0.8929
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,2 SAUV BLANC JB,food,0.9517
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,1 VEGGIE SANOWICH,food,0.934
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,1 QUICHE LORAINE,food,0.9439
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,WINE TASTING 1ST TUESDAY,food,0.9443
