receipt_image,text,predicted_label,confidence
receipt_image_309_jpg.rf.LBG1J6bHp1qUJEPtv3yM.jpg,MONTANT,food,0.5881
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,CASH,food,0.7449
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,Cashier,food,0.7785
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,S/Price,food,0.6883
receipt_image_515_jpg.rf.7NJsbOzaWFccmyeKUO98.jpg,CASH,food,0.7449
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,149 Mineola Blvd,food,0.7101
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,Mar18'18 10:54AM,food,0.7998
1098-receipt_jpg.rf.EiX45iSGHEcL37vZtuDY.jpg,1 Open Food,food,0.6319
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,CASH,food,0.7449
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,Cashier,food,0.7785
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,ime',food,0.5217
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,S/Price,food,0.6883
receipt_image_507_jpg.rf.T18rHZlhz5SmevUYwiNb.jpg,CASH,food,0.7449
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,SAGE,food,0.5672
receipt_image_112_jpg.rf.DRsj4IGcyk5HYyzIqlox.jpg,PLEASE COME AGAIN!,food,0.5721
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,SATU KAMPUNG ENTERPRISE SDN BHD,food,0.6994
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,SATUKAMPUNGESB@GMAIL.COM,food,0.6533
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,TAXINVOICE,food,0.7077
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,S/Price,food,0.6883
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,S/Price,food,0.6883
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,Rouding,food,0.6031
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,CASH,food,0.7449
receipt_image_606_jpg.rf.kI7lZi9Jw8ZdVdyS2YEO.jpg,"D ARE NOT RETURNABLE, THANK YOU",food,0.5736
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,"Lot 6, Jalan Batai,",food,0.529
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,"50490,Kuala Lumpur.",food,0.5473
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,Dole Pineapple Pcs,food,0.7869
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,Gooods,food,0.6274
receipt_image_448_jpg.rf.lOnihBosnpevMbaaQz0F.jpg,"THANKYOU,PLEASECOME AGAIN",food,0.7136
fast-food-receipt-for-ice-cream-frozen-yogurt-custard-store1_jpg.rf.gTKeK0AnGoD2I4GlNcEm.jpg,Chocs,food,0.7409
fast-food-receipt-for-ice-cream-frozen-yogurt-custard-store1_jpg.rf.gTKeK0AnGoD2I4GlNcEm.jpg,Order XBKN2Q5AIND70ZJX,food,0.5119
1103-receipt_jpg.rf.w9zpUOqasxlHHbwlBQwT.jpg,GUESTS,food,0.601
receipt_image_647_jpg.rf.tas0IltPQjScvNpSaRKO.jpg,Please come again.,food,0.5118
receipt_image_210_jpg.rf.Gnjzc1HeSdC8owSpdRQ5.jpg,10 Welles Street,food,0.6207
receipt_image_210_jpg.rf.Gnjzc1HeSdC8owSpdRQ5.jpg,Scral ggs,food,0.5291
receipt_image_210_jpg.rf.Gnjzc1HeSdC8owSpdRQ5.jpg,"15% Tax Included, $8.41",food,0.5325
receipt_image_865_jpg.rf.jiZEc4kY6lCud8VrwtLf.jpg,tidak dapat ditukar/dikembalikan.,food,0.7468
receipt_image_408_jpg.rf.VjPQbbiHEbM2Bejgm4dW.jpg,JAKARTA TIMUR,food,0.6822
receipt_image_408_jpg.rf.VjPQbbiHEbM2Bejgm4dW.jpg,1 Dori Dry Ramen,food,0.6977
receipt_image_408_jpg.rf.VjPQbbiHEbM2Bejgm4dW.jpg,Thank You and Please Come Again,food,0.5057
