text,label,source
GlutenFreeOmegaFlax&FibeerBread,food,synthetic_ocr_aug
Beer,food,receipt_ocr
Organicparsley,food,synthetic_ocr_aug
Uncuredapplewoodsmokedbacon,food,synthetic_ocr_aug
Baby Spinach & Arugula,food,instacart_web
$1-.,not_food,receipt_ocr
Welght1.89lbs@$19.50/bs,not_food,receipt_ocr
Vanilla Pure Almond Milk,food,instacart_web
127.20,not_food,receipt_ocr
ADD RAW ONIONS& SACON PLL,food,receipt_ocr
Organic Flax Plus Multibran Flakes Cereal,food,instacart_web
Alla Vodka Sauce,food,instacart_web
WATER YTEAQO.50,food,receipt_ocr
Chocolate Chip & Oatmeal Cookies,food,instacart_web
comp,not_food,receipt_ocr
Labn<U+00E9> Kefir Cheese,food,instacart_web
Mascarpone,food,instacart_web
Orange Strawberry Banana Juice,food,instacart_web
LEMONCAYENNEAGAVECOLDPRESSED,food,synthetic_ocr_aug
DOSEOUlS:,not_food,receipt_ocr
Egg & Smoked Gouda Multi-Grain Flatbread Breakfast Sandwich,food,instacart_web
Essentials Organic Green Delight Juice,food,instacart_web
Alessi Balsalmic Vinegar,food,branded_items_web
America'sFavoriteTea,food,synthetic_ocr_aug
87.45,not_food,receipt_ocr
Bistro Bowl Chicken Caesar Salad,food,instacart_web
Fully Cooked Boneless Ribs in Sweet Hickory Sauce,food,instacart_web
nAtuRalmiLKcHOCOLaTebar,food,synthetic_ocr_aug
Organic Romaine Lettuce Hearts,food,instacart_web
Birthday Candles,food,instacart_web
bout barley,food,receipt_ocr
$FiveLU,not_food,receipt_ocr
170.00,not_food,receipt_ocr
ROL,food,receipt_ocr
BRCFLRTEAT SMART,food,receipt_ocr
32 oz UHT Eggnog Eggnog,food,instacart_web
EXTRASTOUT,food,synthetic_ocr_aug
CHTCHAMORADA,food,receipt_ocr
S3.75,not_food,receipt_ocr
Hemp Vanilla Unsweetened Non-Dairy Beverage,food,instacart_web
Chipotle Hot Sauce,food,instacart_web
Traditional Style Pink Salmon,food,instacart_web
TSKIRT,food,receipt_ocr
SEDAAPMIE BASOSPZT,food,receipt_ocr
Teriyaki Don Burt,food,receipt_ocr
Sweet & Salty Kettlecorn,food,instacart_web
150.00.4,not_food,receipt_ocr
Dijon Honey Mustard Dressing,food,instacart_web
Green Tea Bottled,food,synthetic_food_list
15da71bb84eec7d54bsd7cec031,not_food,receipt_ocr
Grade A Extra Large Eggs,food,instacart_web
VNBB5LOOO,not_food,receipt_ocr
Plain Non-Fat Greek Yogurt,food,instacart_web
Organic Cinnamon Crunch Cereal,food,instacart_web
Panko Bread Crumbs,food,instacart_web
Reconstituted Lemon Juice,food,instacart_web
$5220,not_food,receipt_ocr
French Onion Dip Mix,food,instacart_web
Classic Meal For 2 Shrimp Scampi & Linguine,food,instacart_web
GlutenFreeMultiSeedRiceThinCrackers,food,synthetic_ocr_aug
OrgnicBraebrnApple,food,synthetic_ocr_aug
Mitu wipes5os,not_food,receipt_ocr
AYAMGORENGMEDJA,food,receipt_ocr
1Box,not_food,receipt_ocr
rganich<U+00E8>vreFleurieSoftRipenedGoatChese,food,synthetic_ocr_aug
Turkey Franks,food,instacart_web
Wild Caught Skinless & Boneless Sardines Packed in Pure Olive Oil,food,instacart_web
3OCHA（DR1),food,receipt_ocr
PeachCitrrusSoda,food,synthetic_ocr_aug
Sweet & Salty Nut Peanut Granola Bars,food,instacart_web
1895,not_food,receipt_ocr
2% Reduced Fat Milk,food,instacart_web
X650,not_food,receipt_ocr
Pomelo Grapefruit & Aloe Appeal,food,instacart_web
RegularPrice.Grilled Onion(so.75),food,receipt_ocr
Bubblemint Sugarfree Gum,food,instacart_web
00.57,not_food,receipt_ocr
Red Beans In Mild Chili Sauce,food,instacart_web
Pretzel Hamburger Buns,food,instacart_web
HamburgerHelperCheddarCheeeseMelt,food,synthetic_ocr_aug
Crispy Fruit Freeze-Dried Asian Pear,food,instacart_web
Original Potato Crisps,food,instacart_web
FABER,not_food,receipt_ocr
1.00,not_food,receipt_ocr
Enchilada Black Bean Vegetable,food,instacart_web
BET YOUWANNA (CARDI B),food,receipt_ocr
349,not_food,receipt_ocr
Living Potted Rosemary,food,instacart_web
Sweet White Rice Flour,food,instacart_web
$12/95,not_food,receipt_ocr
298.00,not_food,receipt_ocr
whisky,food,basket_categories_web
Red Onions,food,instacart_web
THIRSPGBTTIPST,food,synthetic_ocr_aug
Chocolate Cookie with Salted Caramel Ice Cream,food,instacart_web
Thai Coconut Soup,food,instacart_web
BBQ Sauce,food,synthetic_food_list
Fry,not_food,receipt_ocr
LASTIC,not_food,receipt_ocr
Mild Cheddar Semisoft Cheese,food,instacart_web
Thur.2CockShrimp,food,receipt_ocr
Tofus0.00,food,receipt_ocr
Original Wraps 6 Ct,food,instacart_web
Organic Eggplant,food,instacart_web
Petite White Corn,food,instacart_web
Medleys Assorted Fruit Fruit Flavored Snacks,food,instacart_web
BCODE&DESC-,not_food,receipt_ocr
Shelled Pistachios,food,instacart_web
3662675RBORBSPRINGD0ORSTOP5,not_food,receipt_ocr
Whole Wheat Bunnies Baked Snack Crackers,food,instacart_web
Double Fiber Bread,food,instacart_web
Vanilla Coke,food,instacart_web
Herb Roasted Chicken Dinner,food,instacart_web
spices,food,basket_categories_web
LEMAK+fCE,food,receipt_ocr
85.00,not_food,receipt_ocr
1500ZR,not_food,receipt_ocr
Organic Garnet Sweet Potato (Yam),food,instacart_web
Shrimp Entnee,food,receipt_ocr
Tropicana Mandarin Morning,food,produce_classes_web
Broccoli Cheddar Quiche,food,instacart_web
Blueberry Swirl,food,instacart_web
Organic Dark Chocolate Bar with Sea Salt and Turbinado Cane Sugar,food,instacart_web
Snuceensi,not_food,receipt_ocr
oRGANIchOtCOcOamiX,food,synthetic_ocr_aug
Chocolate Fudge High Protein Bars,food,instacart_web
FRIED RICE,food,receipt_ocr
ITENNAME,not_food,receipt_ocr
"NutrITIOnBAr,dARKCHocoLatEPome",food,synthetic_ocr_aug
1All starMeal #tti,food,receipt_ocr
ANEE,food,receipt_ocr
Pur.eCoconutWater,food,synthetic_ocr_aug
Kelloggs Special K Protein Cinnamon Brown Sugar Crunch,food,instacart_web
(ttews),not_food,receipt_ocr
Organic Premium Sweet Petite Mini Peeled Carrots,food,instacart_web
Raw Almond Nut Butter,food,instacart_web
42..00,not_food,receipt_ocr
Hodgson Mill Whole Wheat Penne Pasta,food,branded_items_web
Pan Seared Tilapia,food,receipt_ocr
Peanut Butter Chocolate Chip Meal Bar,food,instacart_web
Original Recipe Snack Mix,food,instacart_web
ActveDryYeast,food,synthetic_ocr_aug
1X020,not_food,receipt_ocr
THaricotsVert,food,receipt_ocr
1 Sauteed Spinach,food,receipt_ocr
SCAC,not_food,receipt_ocr
Ritz Peanut Butter Cracker Sandwiches,food,instacart_web
Orange Mints,food,instacart_web
TANDOORI ROT.I,food,receipt_ocr
BUCATINI,food,receipt_ocr
KINGOF EVERYTHING,not_food,receipt_ocr
OrganicAllNaturalBlueberry,food,synthetic_ocr_aug
NATURALSOURCREAM,food,synthetic_ocr_aug
Whole Wheat Blueberry Fig Bars,food,instacart_web
119,not_food,receipt_ocr
1Pint Bisque,food,receipt_ocr
19.90.5,not_food,receipt_ocr
OrganicRawKom,food,synthetic_ocr_aug
46MM*5M.(GREEND,food,receipt_ocr
GT,not_food,receipt_ocr
CinnmonTastCrnch,food,synthetic_ocr_aug
Shaved Parmesan,food,instacart_web
Serambiic.BudsSR-1o2,not_food,receipt_ocr
Organic Dill,food,instacart_web
Sparkling Natural Mineral Water,food,instacart_web
TomatoPur<U00E9>e,food,synthetic_ocr_aug
Chicken Noodle Condensed Soup,food,instacart_web
Lamb,food,receipt_ocr
All Natural Marinara Sauce,food,instacart_web
Cakn Specialty(Various),food,receipt_ocr
$2155,not_food,receipt_ocr
23.60,not_food,receipt_ocr
Stracciatella Gelato,food,instacart_web
