text,label,source
"₩71,400,000",not_food,korean_amount_v7
팔 도 왕 뚜껑,food,pattern2_word_space_split
"칠 레 산  갈 비 500g 4,500원",food,v4_price_fusion
신노,not_food,v4_regressed_hardneg_150x
"유 기 농콩나물 5개입 7,900원",food,v4_price_fusion
1.60$,not_food,korean_amount_v7
생 막걸 리,food,pattern2_word_space_split
"+크래커 4,380원",food,v4_price_fusion
[매장] 국내산 대구 아오리사과,food,v4_kiosk_tag_prefix
두부 덮 밥,food,pattern2_word_space_split
세제,not_food,korean_clean
"11 x 12, 00 0원",not_food,pattern2_not_food_space_split
우사라보,not_food,v4_regressed_hardneg_150x
유기 농 현 미,food,pattern2_word_space_split
"강황 감자국 2kg 2,680원",food,v4_price_fusion
짜,not_food,pattern6_isolated_residue_hardneg
"둥 굴레 차 7,900원",food,v4_price_fusion
[픽업] +필리핀산 광어,food,v4_kiosk_tag_prefix
굴떼,not_food,v4_regressed_hardneg_150x
분 실료,not_food,pattern2_not_food_space_split
할인가,not_food,v4_header_metadata
매 운맛조선간 장,food,pattern2_word_space_split
"-검은깨 13,500원",food,v4_price_fusion
부 추찜,food,pattern2_word_space_split
대기런호가,not_food,v4_v3_correct_notfood_fix
초코에이스 인조도기,food,v4_jamo_blur
"~결명자차 4,380원",food,v4_price_fusion
PRIC E P ER U NI T,not_food,pattern2_not_food_space_split
"₩ 727,000",not_food,korean_amount_v7
"소고기튀 김 1.2kg 3,830원",food,v4_price_fusion
L포인트,not_food,v4_loyalty_family
LPOINT,not_food,v4_regressed_hardneg_150x
갈비세트  C,food,v4_bbq_space_split
"스윙칩 꽃게 15,000원",food,v4_price_fusion
"국내산열라면 깐마늘 2개 4,380원",food,v4_price_fusion
"연어캔 갈매기살 1.2kg 15,000원",food,v4_price_fusion
수팀,not_food,v4_regressed_hardneg_150x
인전 부명 구,not_food,v4_short_fragment_hardneg
"당근탕 신라면5입 13,500원",food,v4_price_fusion
"`문어전 5개입 7,900원",food,v4_price_fusion
{신이,not_food,v4_short_fragment_hardneg
PO S번 호,not_food,v4_loyalty_space_split
사라,not_food,v4_short_fragment_hardneg
"+후레이크 5개입 3,830원",food,v4_price_fusion
"조개 전 골 500g 3,830원",food,v4_price_fusion
[주소],not_food,v4_short_fragment_hardneg
대기순 번,not_food,v4_order_status_split
20% 할인,not_food,korean_amount_v7
우사 라,not_food,v4_regressed_hardneg_150x
"리코 타치 즈 2개 13,500원",food,v4_price_fusion
우사 라,not_food,v4_regressed_hardneg_150x
*** 자 지 점  ** *,not_food,pattern2_not_food_space_split
이,not_food,pattern6_isolated_residue_hardneg
참 조기,food,pattern2_word_space_split
"-저당밀키스 3,830원",food,v4_price_fusion
"티 렉스버 거세 트 500g 15,000원",food,v4_price_fusion
8 5 5,not_food,pattern2_not_food_space_split
"캐나다산 대구 1.2kg 3,830원",food,v4_price_fusion
E ATZ 마일 사 용,not_food,v4_loyalty_space_split
$45. 65,not_food,pattern2_not_food_space_split
영수증번호,not_food,v4_header_metadata
된장,food,v4_contrast_food
풀떼,not_food,v4_short_fragment_hardneg
"미다덕 2,680원",food,v4_price_fusion
튼백,not_food,v4_regressed_hardneg_150x
"아 침 햇 살 3,830원",food,v4_price_fusion
필들,not_food,v4_short_fragment_hardneg
"무항생제돼지안심 미니첵스 500g 13,500원",food,v4_price_fusion
"팬 케 이 크 500g 3,830원",food,v4_price_fusion
주문하 신 메뉴가 준비되었 습 니다,not_food,v4_order_status_split
486 8-56* *-* *** -26 27,not_food,pattern2_not_food_space_split
틈탁,not_food,v4_regressed_hardneg_150x
단가,not_food,v4_header_metadata
고향만만 두,food,v4_jamo_blur
[픽업] #나샌드,food,v4_kiosk_tag_prefix
