text,label,source
-새우구이,food,pattern4_leading_symbol
"#두부면 1L 3,830원",food,subgroup3_price_quantity_fusion
[옵션] 국산고추장멸치볶음,food,subgroup6_kiosk_tag_prefix
"~숙성고추장멸치볶음 15,000원",food,subgroup3_price_quantity_fusion
"랜치소스 매일우유 3,500원",food,subgroup3_price_quantity_fusion
"효소 매운맛꽃소금 7,900원",food,subgroup3_price_quantity_fusion
임서현,not_food,korean_clean
"누룽지 4,500원",food,subgroup3_price_quantity_fusion
★ 빙 웰 지 점★,not_food,pattern2_not_food_space_split
비 빔라면,food,pattern2_word_space_split
L 무,not_food,subgroup12_isolated_hard_neg
"원산지 삼겹살 4,380원",food,subgroup3_price_quantity_fusion
"`고추참치 13,500원",food,subgroup3_price_quantity_fusion
반 려 동물탈취제,not_food,pattern2_not_food_space_split
포 스 트잇,not_food,pattern2_not_food_space_split
비타민D 헛개열매,food,pattern3_adjacent_merged
북엇국 갈매기살,food,pattern3_adjacent_merged
고등 어찜,food,pattern2_word_space_split
"흑 마늘 즙 13,500원",food,subgroup3_price_quantity_fusion
래,not_food,pattern6_isolated_residue_hardneg
개,not_food,subgroup12_isolated_hard_neg
선크림,not_food,korean_priority_gaps_v10
(ICE) 크런치땅콩버터 낙지국,food,subgroup6_kiosk_tag_prefix
L 무,not_food,pattern6_isolated_residue_hardneg
$ 413 .04 F,not_food,pattern2_not_food_space_split
가염버터 알감자,food,pattern3_adjacent_merged
2 2 / 0 7/1 2,not_food,pattern2_not_food_space_split
2 75 . 4 7,not_food,pattern2_not_food_space_split
"80,BOO,UU0",not_food,pattern1_digit_letter_confusion
동작구,not_food,korean_clean
"탕소육 300g 7,900원",food,subgroup3_price_quantity_fusion
"시금치전 13,500원",food,subgroup3_price_quantity_fusion
L 무,not_food,subgroup12_isolated_hard_neg
습,not_food,subgroup12_isolated_hard_neg
생선구이정식,food,contrast_food_positive
"850,000,000원",not_food,korean_amount_v7
무가당두유,food,korean_diversity_gap_v13
후추 감자국,food,pattern3_adjacent_merged
$ 448. 57,not_food,pattern2_not_food_space_split
(1인분) 전복강정,food,subgroup6_kiosk_tag_prefix
농산 물 센 터,not_food,pattern2_not_food_space_split
'삼치튀김,food,pattern4_leading_symbol
"오뚜기짜장 찐만두 10개 15,000원",food,subgroup3_price_quantity_fusion
돌나물,food,v15_food_gapfill_800
닭볶음탕,food,korean_clean
$335.65 F,not_food,korean_amount_v7
합,not_food,subgroup12_isolated_hard_neg
"냉 장 돼 지 갈비 찜 용 4,380원",food,subgroup3_price_quantity_fusion
팔 도비 빔면,food,pattern2_word_space_split
스 타 필 드,not_food,pattern2_not_food_space_split
"표고버섯강정 2,680원",food,subgroup3_price_quantity_fusion
"두유 음 료 2kg 7,900원",food,subgroup3_price_quantity_fusion
부가세 포함가,not_food,korean_clean_v3
"곱창죽 10개 3,500원",food,subgroup3_price_quantity_fusion
알로미늄호일,not_food,pattern8_hangul_visual_confusion
들,not_food,subgroup12_isolated_hard_neg
1 588 -12 34,not_food,pattern2_not_food_space_split
양 파튀 김,food,pattern2_word_space_split
냉동크루아상,food,korean_diversity_gap_v13
"|근당 9,800원",not_food,pattern1_digit_letter_confusion
