text,label,source
차돌박이 스페인산 감자,food,pattern3_adjacent_merged
국 산 모시조개,food,pattern2_word_space_split
애호 박 나 물,food,pattern2_word_space_split
귀 리 압 맥,food,pattern2_word_space_split
신라면  300g,food,pattern2_word_space_split
연어국수,food,korean_clean
9:36,not_food,pattern1_digit_letter_confusion
호박 찌 개,food,pattern2_word_space_split
국내 산 아오 리사과,food,pattern2_word_space_split
문어덮밥 조미료가루,food,pattern3_adjacent_merged
"₩569,0U0,000",not_food,pattern1_digit_letter_confusion
#해장국,food,pattern4_leading_symbol
한우살치살 닭고기찌개,food,pattern3_adjacent_merged
프라 임 마트,not_food,pattern2_not_food_space_split
오권,not_food,pattern6_isolated_residue_hardneg
멸균 깐 메추 리 알,food,pattern2_word_space_split
주 류코너,not_food,pattern2_not_food_space_split
콘칩 명태무침,food,pattern3_adjacent_merged
콩우유,food,korean_gap_v6
한우등심 무염견과류믹스,food,pattern3_adjacent_merged
무 항생제계 란,food,pattern2_word_space_split
T ABLE 5,not_food,pattern2_not_food_space_split
글루 코 사 민,food,pattern2_word_space_split
2024년08월19일,not_food,korean_receipt_metadata_v12
파 래,food,pattern2_word_space_split
다시마 튀 각,food,pattern2_word_space_split
-컨디초콜릿음료,food,pattern4_leading_symbol
순두부백 반,food,pattern2_word_space_split
운단,food,korean_gap_v6
02-745-4920,not_food,korean_clean
`FISH CAKE,food,pattern4_leading_symbol
호 박 구 이,food,pattern2_word_space_split
부레 |찰t|1z05,not_food,pattern6_isolated_residue_hardneg
친 환경마늘,food,pattern2_word_space_split
PST),not_food,pattern6_isolated_residue_hardneg
겨자가 루,food,pattern2_word_space_split
소득공제누락신고,not_food,korean_gap_v5
펩 시콜라,food,pattern2_word_space_split
아기주스,not_food,korean_diversity_gap_v13
US $ 69.11,not_food,pattern2_not_food_space_split
친환경도라지청 감자전골,food,pattern3_adjacent_merged
국산연 어 필 렛,food,pattern2_word_space_split
승 인번호 36 950 22 1,not_food,pattern2_not_food_space_split
FERMENTED BEAN CURD,food,korean_gap_v6
승인번호 51464269,not_food,korean_clean
회원가입시 혜택 안내,not_food,korean_receipt_metadata_v12
조개 국 수,food,pattern2_word_space_split
2월,not_food,korean_clean
병어,food,korean_clean
오후 3:22,not_food,korean_clean
김치콩나물국 빙그레메로나,food,pattern3_adjacent_merged
* ** 록 초마 을 ** *,not_food,pattern2_not_food_space_split
콩나 물 국수,food,pattern2_word_space_split
4월,not_food,korean_clean
영등포 구,not_food,pattern2_not_food_space_split
토 요 일,not_food,pattern2_not_food_space_split
프로틴시리얼 진미채볶음,food,pattern3_adjacent_merged
zlz499B5G9847,not_food,pattern1_digit_letter_confusion
홍로사과 친환경대추방울토마토,food,pattern3_adjacent_merged
통후추,food,korean_priority_gaps_v11
장 어덮밥,food,pattern2_word_space_split
림,not_food,pattern6_isolated_residue_hardneg
P I C KUP,not_food,pattern2_not_food_space_split
어린이시리얼 전복볶음탕,food,pattern3_adjacent_merged
해 운대 길,not_food,pattern2_not_food_space_split
50%,not_food,korean_amount_v7
국내산 멥쌀 가루,food,pattern2_word_space_split
청정원참기름,food,korean_clean
보가 지,food,pattern2_word_space_split
US$ 288 . 35,not_food,pattern2_not_food_space_split
"₩ 48 3,00 0",not_food,pattern2_not_food_space_split
한 우 차 돌 박 이,food,pattern2_word_space_split
당근전 간편조리등심돈가스,food,pattern3_adjacent_merged
"₩ 1 06 , 00 0",not_food,pattern2_not_food_space_split
불 고 기 덮밥,food,pattern2_word_space_split
55 42 - 2 8* * - *** *-3129,not_food,pattern2_not_food_space_split
훈 제오리샐 러드,food,pattern2_word_space_split
멸치찜 배추속대,food,pattern3_adjacent_merged
삼성마스터,not_food,korean_gap_v6
"4 6, 7 0 0, 00 0 원",not_food,pattern2_not_food_space_split
~국산시나노골드,food,pattern4_leading_symbol
낱개맛동산,food,v15_food_gapfill_800
-햇반발아현미밥,food,pattern4_leading_symbol
백 설 고추장  300 g,food,pattern2_word_space_split
~세로습가 골리,not_food,pattern6_isolated_residue_hardneg
무 항 생제 돼 지 등 심,food,pattern2_word_space_split
무알 콜 맥 주,food,pattern2_word_space_split
국산 부추김치,food,pattern2_word_space_split
-냉동김밥,food,pattern4_leading_symbol
한무소불고기용,food,pattern8_hangul_visual_confusion
낱개화 이트하임,food,pattern2_word_space_split
아귀튀 김,food,pattern2_word_space_split
국산양파장마찌,food,pattern8_hangul_visual_confusion
삼 겹살 국 수,food,pattern2_word_space_split
실리콘 도마,not_food,pattern2_not_food_space_split
소라 스프링클,food,pattern3_adjacent_merged
들,not_food,pattern6_isolated_residue_hardneg
대 게 찌 개,food,pattern2_word_space_split
- $48. 62,not_food,pattern2_not_food_space_split
쿠 폰 사용,not_food,pattern2_not_food_space_split
에이스,food,v15_food_gapfill_800
강낭콩통조림,food,korean_priority_gaps_v11
장어 찌개,food,pattern2_word_space_split
"1l b 25,00 0 원",not_food,pattern2_not_food_space_split
듀라셀,not_food,korean_clean
